"date_column","total_sightings"
2014-07-01,32
2014-08-01,4
2015-04-01,2
2015-05-01,1
2015-06-01,24
2015-07-01,5
2015-08-01,1
2015-09-01,4
2015-11-01,1
2016-06-01,2
2016-07-01,3
2016-08-01,2
2016-09-01,30
2016-10-01,11
2017-04-01,1
2017-05-01,4
2017-06-01,9
2017-07-01,6
2017-08-01,20
2017-09-01,47
2017-10-01,1
2017-11-01,2
2017-12-01,3
2018-01-01,5
2018-02-01,1
2018-03-01,1
2018-04-01,3
2018-05-01,3
2018-06-01,64
2018-07-01,13
2018-08-01,15
2018-09-01,26
2018-10-01,6
2019-04-01,1
2019-05-01,6
2019-06-01,4
2019-07-01,1
2019-08-01,3
2019-09-01,10
2019-10-01,8
2019-11-01,5
2020-06-01,22
2020-07-01,35
2020-08-01,169
2020-09-01,105
2020-10-01,50
2020-11-01,31
2020-12-01,17
2021-01-01,2
2021-03-01,1
2021-04-01,1
2021-05-01,10
2021-06-01,43
2021-07-01,19
2021-08-01,12
2021-09-01,3
2021-11-01,2
2021-12-01,1
2022-03-01,1
2022-04-01,1
2022-05-01,43
2022-06-01,82
2022-07-01,14
2022-08-01,29
2022-10-01,30
2022-11-01,3
2023-05-01,1
2023-06-01,44
2023-07-01,5
2023-08-01,11
2023-09-01,14
2024-04-01,5
2024-05-01,48
2024-06-01,194
2024-07-01,61
2024-08-01,152
2024-09-01,7
2024-10-01,3
2024-11-01,5
