"species","date_column","total_sightings"
"Fin Whale",2014-11-01,5
"Fin Whale",2015-04-01,3
"Fin Whale",2015-06-01,8
"Fin Whale",2015-07-01,3
"Fin Whale",2016-02-01,5
"Fin Whale",2016-04-01,2
"Fin Whale",2016-05-01,3
"Fin Whale",2016-06-01,2
"Fin Whale",2016-07-01,3
"Fin Whale",2016-08-01,1
"Fin Whale",2016-09-01,2
"Fin Whale",2017-08-01,5
"Fin Whale",2017-09-01,17
"Fin Whale",2017-11-01,4
"Fin Whale",2017-12-01,14
"Fin Whale",2018-01-01,23
"Fin Whale",2018-02-01,11
"Fin Whale",2018-03-01,17
"Fin Whale",2018-04-01,22
"Fin Whale",2018-06-01,25
"Fin Whale",2018-07-01,5
"Fin Whale",2018-08-01,1
"Fin Whale",2018-09-01,3
"Fin Whale",2019-01-01,1
"Fin Whale",2019-03-01,4
"Fin Whale",2019-04-01,6
"Fin Whale",2019-05-01,5
"Fin Whale",2019-06-01,3
"Fin Whale",2019-07-01,1
"Fin Whale",2019-08-01,1
"Fin Whale",2019-10-01,9
"Fin Whale",2019-11-01,4
"Fin Whale",2020-06-01,12
"Fin Whale",2020-07-01,5
"Fin Whale",2020-08-01,1
"Fin Whale",2020-09-01,2
"Fin Whale",2020-10-01,2
"Fin Whale",2020-11-01,12
"Fin Whale",2020-12-01,1
"Fin Whale",2021-01-01,14
"Fin Whale",2021-03-01,5
"Fin Whale",2021-04-01,15
"Fin Whale",2021-05-01,20
"Fin Whale",2021-06-01,2
"Fin Whale",2021-08-01,1
"Fin Whale",2021-11-01,2
"Fin Whale",2021-12-01,15
"Fin Whale",2022-01-01,7
"Fin Whale",2022-02-01,1
"Fin Whale",2022-04-01,20
"Fin Whale",2022-05-01,13
"Fin Whale",2022-06-01,7
"Fin Whale",2022-07-01,16
"Fin Whale",2022-09-01,2
"Fin Whale",2022-10-01,2
"Fin Whale",2022-11-01,3
"Fin Whale",2023-01-01,6
"Fin Whale",2023-04-01,2
"Fin Whale",2023-05-01,2
"Fin Whale",2023-06-01,2
"Fin Whale",2023-08-01,11
"Fin Whale",2023-09-01,2
"Fin Whale",2023-11-01,3
"Fin Whale",2024-01-01,3
"Fin Whale",2024-03-01,3
"Fin Whale",2024-04-01,10
"Fin Whale",2024-05-01,9
"Fin Whale",2024-06-01,53
"Fin Whale",2024-07-01,13
"Fin Whale",2024-08-01,36
"Fin Whale",2024-09-01,10
"Fin Whale",2024-10-01,5
"Fin Whale",2024-11-01,2
"Fin Whale",2024-12-01,2
